0,208469.051324675
0.1,211611.537777353
0.2,214784.170915217
0.3,217985.781131303
0.4,221215.148712681
0.5,224471.003922014
0.6,227752.027164736
0.7,231056.849243442
0.8,234384.051700914
0.9,237732.167253015
1,241099.680312563
1.1,244485.027605057
1.2,247886.598877004
1.3,251302.737697356
1.4,254731.742352405
1.5,258171.866834264
1.6,261621.321922885
1.7,265078.27636132
1.8,268540.858123767
1.9,272007.155775693
2,275475.219925138
2.1,278943.064764076
2.2,282408.669698502
2.3,285869.981065686
2.4,289324.913936838
2.5,292771.354003208
2.6,296207.159543409
2.7,299630.163469585
2.8,303038.175449808
2.9,306428.984103883
3,309800.359269564
3.1,313150.054335964
3.2,316475.808640776
3.3,319775.349927708
3.4,323046.396860394
3.5,326286.661588847
3.6,329493.852364365
3.7,332665.676198646
3.8,335799.841562728
3.9,338894.061121218
4,341946.054497166
4.1,344953.551062811
4.2,347914.292751306
4.3,350826.036884468
4.4,353686.559011472
4.5,356493.655753372
4.6,359245.147648227
4.7,361938.881991608
4.8,364572.735667182
4.9,367144.617962066
5,369652.473361622
5.1,372094.284318368
5.2,374468.073989681
5.3,376771.908939013
5.4,379003.901795354
5.5,381162.213865743
5.6,383245.057695686
5.7,385250.699572416
5.8,387177.461966015
5.9,389023.725903527
6,390787.933271288
6.1,392468.589040842
6.2,394064.263413945
6.3,395573.593882276
6.4,396995.287197695
6.5,398328.121248988
6.6,399570.946841271
6.7,400722.689374381
6.8,401782.350416806
6.9,402749.009171893
7,403621.823833297
7.1,404400.032826868
7.2,405082.95593638
7.3,405669.995310766
7.4,406160.636350766
7.5,406554.448473113
7.6,406851.085750688
7.7,407050.287427281
7.8,407151.8783059
7.9,407155.76900979
8,407061.956115645
8.1,406870.522158709
8.2,406581.635509762
8.3,406195.550124258
8.4,405712.605164133
8.5,405133.224493068
8.6,404457.916046286
8.7,403687.271076174
8.8,402821.963275335
8.9,401862.747778872
9,400810.460048021
9.1,399666.014637416
9.2,398430.403848584
9.3,397104.696272451
9.4,395690.035223875
9.5,394187.637071443
9.6,392598.789465988
9.7,390924.849471447
9.8,389167.241601917
9.9,387327.455768903
10,385407.045142955
10.1,383407.623934034
10.2,381330.865095093
10.3,379178.497953513
10.4,376952.305775134
10.5,374654.123265768
10.6,372285.834015144
10.7,369849.367888359
10.8,367346.698369964
10.9,364779.839865881
11,362150.844968413
11.1,359461.801689621
11.2,356714.830668399
11.3,353912.082356556
11.4,351055.734189257
11.5,348147.987745107
11.6,345191.065901201
11.7,342187.209988364
11.8,339138.676951802
11.9,336047.7365223
12,332916.668403029
12.1,329747.759476955
12.2,326543.301039726
12.3,323305.586062833
12.4,320036.906491689
12.5,316739.550583181
12.6,313415.800287086
12.7,310067.928675609
12.8,306698.197425141
12.9,303308.854354185
13,299902.131021211
13.1,296480.240386032
13.2,293045.374538121
13.3,289599.702495085
13.4,286145.368074315
13.5,282684.487840654
13.6,279219.1491327
13.7,275751.408170154
13.8,272283.288244442
13.9,268816.777994587
14,265353.82977012
14.1,261896.358082605
14.2,258446.238147119
14.3,255005.304514829
14.4,251575.349797592
14.5,248158.123485276
14.6,244755.330856312
14.7,241368.631981757
14.8,237999.640822945
14.9,234649.924422621
15,231321.002189219
15.1,228014.345273779
15.2,224731.376038797
15.3,221473.467618114
15.4,218241.943566787
15.5,215038.077599687
15.6,211863.093417424
15.7,208718.164618047
